日期,来源,访问量,跳出率,平均停留
2024-06-16,自然搜索,1250,0.35,135
2024-06-16,付费广告,1450,0.35,135
2024-06-16,社交媒体,1250,0.35,135
2024-06-16,直接访问,1050,0.35,135
2024-06-16,邮件营销,1250,0.35,135
2024-06-17,自然搜索,1260,0.36,140
2024-06-17,付费广告,1460,0.36,140
2024-06-17,社交媒体,1260,0.36,140
2024-06-17,直接访问,1060,0.36,140
2024-06-17,邮件营销,1260,0.36,140
2024-06-18,自然搜索,1270,0.37,145
2024-06-18,付费广告,1470,0.37,145
2024-06-18,社交媒体,1270,0.37,145
2024-06-18,直接访问,1070,0.37,145
2024-06-18,邮件营销,1270,0.37,145
2024-06-19,自然搜索,1280,0.38,150
2024-06-19,付费广告,1480,0.38,150
2024-06-19,社交媒体,1280,0.38,150
2024-06-19,直接访问,1080,0.38,150
2024-06-19,邮件营销,1280,0.38,150
2024-06-20,自然搜索,1290,0.39,155
2024-06-20,付费广告,1490,0.39,155
2024-06-20,社交媒体,1290,0.39,155
2024-06-20,直接访问,1090,0.39,155
2024-06-20,邮件营销,1290,0.39,155
2024-06-21,自然搜索,1300,0.3,60
2024-06-21,付费广告,1500,0.3,60
2024-06-21,社交媒体,1300,0.3,60
2024-06-21,直接访问,1100,0.3,60
2024-06-21,邮件营销,1300,0.3,60
2024-06-22,自然搜索,1310,0.31,65
2024-06-22,付费广告,1510,0.31,65
2024-06-22,社交媒体,1310,0.31,65
2024-06-22,直接访问,1110,0.31,65
2024-06-22,邮件营销,1310,0.31,65
2024-06-23,自然搜索,1320,0.32,70
2024-06-23,付费广告,1520,0.32,70
2024-06-23,社交媒体,1320,0.32,70
2024-06-23,直接访问,1120,0.32,70
2024-06-23,邮件营销,1320,0.32,70
2024-06-24,自然搜索,1330,0.32999999999999996,75
2024-06-24,付费广告,1530,0.32999999999999996,75
2024-06-24,社交媒体,1330,0.32999999999999996,75
2024-06-24,直接访问,1130,0.32999999999999996,75
2024-06-24,邮件营销,1330,0.32999999999999996,75
2024-06-25,自然搜索,1340,0.33999999999999997,80
2024-06-25,付费广告,1540,0.33999999999999997,80
2024-06-25,社交媒体,1340,0.33999999999999997,80
2024-06-25,直接访问,1140,0.33999999999999997,80
2024-06-25,邮件营销,1340,0.33999999999999997,80
2024-06-26,自然搜索,1350,0.35,85
2024-06-26,付费广告,1550,0.35,85
2024-06-26,社交媒体,1350,0.35,85
2024-06-26,直接访问,1150,0.35,85
2024-06-26,邮件营销,1350,0.35,85
2024-06-27,自然搜索,1360,0.36,90
2024-06-27,付费广告,1560,0.36,90
2024-06-27,社交媒体,1360,0.36,90
2024-06-27,直接访问,1160,0.36,90
2024-06-27,邮件营销,1360,0.36,90
2024-06-28,自然搜索,1370,0.37,95
2024-06-28,付费广告,1570,0.37,95
2024-06-28,社交媒体,1370,0.37,95
2024-06-28,直接访问,1170,0.37,95
2024-06-28,邮件营销,1370,0.37,95
2024-06-29,自然搜索,1380,0.38,100
2024-06-29,付费广告,1580,0.38,100
2024-06-29,社交媒体,1380,0.38,100
2024-06-29,直接访问,1180,0.38,100
2024-06-29,邮件营销,1380,0.38,100
2024-06-30,自然搜索,1390,0.39,105
2024-06-30,付费广告,1590,0.39,105
2024-06-30,社交媒体,1390,0.39,105
2024-06-30,直接访问,1190,0.39,105
2024-06-30,邮件营销,1390,0.39,105
